ECG,ABP
0.68627451,75.88001258
0.660784314,77.75745619
0.635294118,79.00908526
0.615686275,79.6348998
0.596078431,79.94780707
0.570588235,79.79135343
0.554901961,79.32199253
0.529411765,79.00908526
0.529411765,79.00908526
0.519607843,79.00908526
0.515686275,79.00908526
0.505882353,78.69617799
0.509803922,78.38327073
0.505882353,77.60100255
0.5,76.66228075
0.509803922,75.56710531
0.535294118,74.31547624
0.570588235,72.7509399
0.590196078,71.49931082
0.605882353,70.56058902
0.625490196,70.71704265
0.625490196,71.81221809
0.609803922,74.00256897
0.570588235,76.34937348
0.509803922,77.91390982
0.505882353,78.53972436
0.484313725,78.53972436
0.480392157,78.69617799
0.480392157,79.00908526
0.470588235,79.47844617
0.454901961,79.94780707
0.460784314,80.5736216
0.449019608,81.51234341
0.454901961,83.07687975
0.460784314,84.79786973
0.464705882,86.36240607
0.454901961,86.98822061
0.470588235,86.5188597
0.464705882,85.5801379
0.470588235,85.110777
0.474509804,85.26723063
0.515686275,85.42368426
0.605882353,85.5801379
0.705882353,85.5801379
0.735294118,85.42368426
0.590196078,84.95432336
0.303921569,84.17205519
-0.18627451,83.23333339
-0.452941176,81.98170431
-0.301960784,80.88652887
-0.111764706,79.79135343
0.129411765,78.85263163
0.370588235,77.60100255
0.529411765,75.88001258
0.596078431,74.1590226
0.615686275,72.43803263
0.625490196,71.18640355
0.635294118,70.09122811
0.635294118,69.15250631
0.645098039,68.52669177
0.645098039,68.05733087
0.660784314,67.7444236
0.664705882,67.43151633
0.654901961,66.96215543
0.664705882,66.49279453
0.670588235,65.71052636
0.676470588,64.92825819
0.68627451,64.14599002
0.696078431,63.52017548
0.705882353,63.05081458
0.709803922,62.89436094
0.725490196,62.73790731
0.731372549,63.20726821
0.745098039,64.30244365
0.745098039,66.17988726
0.750980392,68.52669177
0.721568627,71.18640355
0.715686275,74.00256897
0.68627451,76.50582712
0.690196078,78.38327073
0.645098039,79.6348998
0.629411765,80.41716797
0.605882353,80.5736216
0.580392157,80.5736216
0.550980392,80.26071434
0.539215686,79.79135343
0.529411765,79.6348998
0.519607843,79.32199253
0.529411765,79.32199253
0.509803922,79.00908526
0.515686275,78.69617799
0.505882353,78.07036346
0.509803922,77.13164165
0.505882353,75.88001258
0.535294118,74.47192987
0.570588235,73.2203008
0.590196078,72.12512536
0.605882353,71.81221809
0.625490196,72.59448626
0.625490196,74.1590226
0.625490196,76.03646621
0.584313725,77.44454892
0.535294118,78.38327073
0.519607843,78.85263163
0.505882353,79.1655389
0.490196078,79.47844617
0.490196078,79.79135343
0.474509804,80.1042607
0.464705882,80.88652887
0.460784314,81.98170431
0.460784314,83.23333339
0.449019608,84.79786973
0.460784314,86.20595243
0.464705882,86.83176697
0.460784314,86.36240607
0.470588235,85.42368426
0.470588235,84.95432336
0.474509804,84.95432336
0.470588235,85.42368426
0.494117647,85.5801379
0.584313725,85.5801379
0.696078431,85.110777
0.766666667,84.64141609
0.660784314,84.01560156
0.4,83.38978702
-0.037254902,82.45106521
-0.411764706,81.19943614
-0.337254902,80.26071434
-0.150980392,79.32199253
0.078431373,78.53972436
0.335294118,77.44454892
0.509803922,76.03646621
0.570588235,74.31547624
0.605882353,72.43803263
0.609803922,70.56058902
0.625490196,69.15250631
0.625490196,68.05733087
0.641176471,67.43151633
0.645098039,66.96215543
0.645098039,66.64924816
0.645098039,66.17988726
0.650980392,65.71052636
0.654901961,65.08471182
0.664705882,64.61535092
0.670588235,63.98953638
0.680392157,63.52017548
0.696078431,62.89436094
0.690196078,62.2685464
0.715686275,61.7991855
0.715686275,61.7991855
0.731372549,61.95563914
0.721568627,62.73790731
0.745098039,64.30244365
0.735294118,66.64924816
0.735294118,69.30895994
0.709803922,72.12512536
0.690196078,74.78483714
0.670588235,76.81873438
0.650980392,78.22681709
0.641176471,79.00908526
0.609803922,79.32199253
0.584313725,79.32199253
0.570588235,79.1655389
0.550980392,79.00908526
0.535294118,78.69617799
0.529411765,78.38327073
0.519607843,78.22681709
0.525490196,78.07036346
0.519607843,77.75745619
0.525490196,77.13164165
0.515686275,76.34937348
0.525490196,75.25419804
0.519607843,74.00256897
0.564705882,72.59448626
0.590196078,71.49931082
0.615686275,70.87349629
0.625490196,71.34285719
0.635294118,72.7509399
0.625490196,74.31547624
0.605882353,75.88001258
0.550980392,77.44454892
0.529411765,79.00908526
0.505882353,80.26071434
0.5,80.88652887
0.490196078,80.73007524
0.484313725,80.1042607
0.470588235,79.79135343
0.464705882,80.5736216
0.460784314,82.13815795
0.454901961,84.17205519
0.460784314,86.0494988
0.454901961,87.14467424
0.460784314,86.83176697
0.460784314,85.42368426
0.464705882,84.17205519
0.470588235,83.70269429
0.470588235,84.17205519
0.484313725,84.64141609
0.574509804,84.79786973
0.676470588,84.48496246
0.760784314,83.85914792
0.696078431,83.07687975
0.494117647,82.13815795
0.094117647,81.19943614
-0.347058824,79.94780707
-0.423529412,79.00908526
-0.182352941,78.07036346
0.01372549,77.13164165
0.274509804,75.88001258
0.460784314,74.47192987
0.560784314,72.59448626
0.584313725,70.87349629
0.609803922,69.30895994
0.619607843,68.05733087
0.629411765,67.2750627
0.635294118,66.64924816
0.641176471,66.49279453
0.645098039,66.17988726
0.635294118,65.86697999
0.650980392,65.55407272
0.645098039,65.24116545
0.654901961,64.77180455
0.654901961,64.30244365
0.676470588,63.67662911
0.670588235,63.05081458
0.696078431,62.2685464
0.7,61.7991855
0.715686275,61.48627823
0.715686275,61.7991855
0.735294118,62.42500004
0.741176471,63.67662911
0.741176471,65.71052636
0.725490196,68.2137845
0.715686275,70.87349629
0.696078431,73.37675443
0.676470588,75.56710531
0.645098039,77.28809529
0.629411765,78.38327073
